                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4326,                 3.6719,                 3.7734,                0.10684,                0.07812,                0.04552,                0.01125,                 2.7136,                 3.9287,                 3.2898,             0.00066066,             0.00066066,             0.00066066
                      2,                 2.7074,                 2.7562,                 2.7759,                0.09517,                0.21094,                0.05585,                0.01588,                 2.6607,                 3.1979,                 2.9137,              0.0012616,              0.0012616,              0.0012616
                      3,                  2.448,                 2.4397,                 2.4768,                0.15144,                0.27734,                 0.1102,                0.03288,                 2.4161,                 2.8584,                 2.6919,              0.0017966,              0.0017966,              0.0017966
                      4,                 2.2893,                 2.2748,                  2.285,                0.31946,                   0.25,                0.19379,                0.07399,                 2.2617,                 2.4373,                 2.5899,               0.001703,               0.001703,               0.001703
                      5,                 2.1896,                 2.1864,                 2.1773,                0.33215,                0.25391,                0.20373,                0.06431,                  2.267,                 2.5562,                 2.6292,               0.001604,               0.001604,               0.001604
                      6,                 2.1105,                 2.0691,                 2.0913,                0.34214,                0.28906,                0.26231,                0.08957,                 2.2876,                 2.4722,                 2.5811,               0.001505,               0.001505,               0.001505
                      7,                 2.0598,                  2.029,                 2.0198,                0.44736,                0.31641,                0.31371,                0.12891,                 2.0605,                 2.4228,                  2.343,               0.001406,               0.001406,               0.001406
                      8,                 2.0197,                 1.9687,                 1.9713,                0.41279,                0.38281,                0.35698,                 0.1353,                 2.1251,                 2.1711,                 2.3087,               0.001307,               0.001307,               0.001307
                      9,                 1.9616,                 1.9184,                 1.9072,                0.45617,                0.38336,                0.39183,                0.16215,                 2.0779,                 2.0613,                 2.2753,               0.001208,               0.001208,               0.001208
                     10,                 1.9257,                 1.9116,                 1.8944,                0.36838,                0.41797,                0.35544,                0.13817,                  2.079,                 2.2698,                 2.3183,               0.001109,               0.001109,               0.001109
                     11,                 1.9309,                 1.9061,                 1.8852,                0.32528,                0.35938,                0.33632,                0.14577,                 2.0413,                 2.2722,                 2.2708,                0.00101,                0.00101,                0.00101
                     12,                 1.8855,                 1.8389,                 1.8501,                0.41072,                0.42969,                0.38324,                0.15527,                 1.9824,                 2.1678,                 2.2102,               0.000911,               0.000911,               0.000911
                     13,                 1.8682,                  1.809,                 1.8448,                0.47121,                0.40728,                0.41563,                0.17573,                 1.9828,                 2.0386,                 2.1616,               0.000812,               0.000812,               0.000812
                     14,                 1.8669,                 1.7731,                 1.8173,                0.46862,                0.41797,                0.39585,                0.16752,                 1.9864,                 2.1009,                  2.186,               0.000713,               0.000713,               0.000713
                     15,                 1.8111,                 1.7418,                 1.7781,                0.46322,                0.39844,                 0.4195,                0.18893,                 1.9954,                 1.9783,                  2.185,               0.000614,               0.000614,               0.000614
                     16,                  1.792,                 1.7074,                  1.763,                0.62848,                0.38672,                0.45027,                0.20606,                 1.9125,                 1.9296,                 2.1228,               0.000515,               0.000515,               0.000515
                     17,                 1.7715,                 1.6721,                 1.7446,                 0.4945,                0.39453,                  0.407,                0.17644,                 1.9264,                 1.9706,                  2.119,               0.000416,               0.000416,               0.000416
                     18,                 1.7489,                 1.6357,                 1.7266,                0.53784,                0.41406,                0.43545,                0.19001,                 1.9565,                 1.9071,                 2.1516,               0.000317,               0.000317,               0.000317
