                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3074,                 4.1451,                 3.7465,                0.03921,                0.09766,                 0.0167,                0.00435,                 2.8364,                 4.0976,                 3.4194,             0.00066365,             0.00066365,             0.00066365
                      2,                 2.8143,                 2.9336,                  2.914,                0.07892,                0.15625,                0.05684,                0.01705,                 2.5805,                 2.8658,                 2.9447,              0.0011986,              0.0011986,              0.0011986
                      3,                 2.5793,                 2.5738,                 2.5962,                 0.1657,                0.14453,                0.07096,                0.01979,                 2.5284,                 2.9218,                 2.8494,              0.0016016,              0.0016016,              0.0016016
                      4,                  2.425,                 2.3813,                 2.4086,                0.15194,                0.30469,                 0.1227,                0.03893,                 2.2612,                 2.6607,                 2.6064,               0.001406,               0.001406,               0.001406
                      5,                 2.3003,                 2.2801,                 2.2775,                0.31876,                0.29297,                0.23144,                0.08288,                 2.1904,                 2.4233,                 2.4751,               0.001208,               0.001208,               0.001208
                      6,                 2.2074,                 2.1755,                 2.1785,                0.34498,                0.34375,                0.29149,                0.09933,                 2.1742,                 2.2918,                 2.4499,                0.00101,                0.00101,                0.00101
                      7,                 2.1245,                 2.0888,                  2.109,                0.42796,                  0.339,                0.32683,                0.13026,                 2.0537,                 2.1804,                 2.3449,               0.000812,               0.000812,               0.000812
                      8,                 2.0789,                 2.0162,                 2.0341,                0.40745,                 0.3465,                0.30488,                0.11488,                 2.0932,                 2.2147,                  2.344,               0.000614,               0.000614,               0.000614
                      9,                 2.0328,                 1.9549,                 2.0086,                0.44475,                0.39844,                0.37845,                0.14014,                 2.0943,                 2.1031,                 2.3617,               0.000416,               0.000416,               0.000416
                     10,                 1.9726,                 1.9087,                 1.9618,                0.43964,                0.40234,                0.37619,                0.14605,                 2.0458,                 2.1035,                 2.2892,               0.000218,               0.000218,               0.000218
